title,topics,pv,upvote_num
如何看待两部委发布通知称「没有发生疫情地区严禁以防疫为由不让农民下地」？将会带来哪些影响？,社会 农业 社会民生,1808596,13825
如果穿越到21号早晨，有什么办法可以挽救MU5735？,飞机 民航 穿越,4668821,8254
唐山警方通报「李某某非法开设补习班隐瞒不报致多人阳性」，目前事件进展如何？李某某需要负什么法律责任？,法律 唐山 疫情影响,706369,1314
当一个人资产达到一亿元人民币以上，不作妖，不赌博，正常经营正常投资，有多大可能再次返贫？,投资 资产 资产荒,5147357,1640
aespa 科切拉饭拍已经出来了，如何评价表现?,舞台 韩团 科切拉音乐艺术节（Coachella）,1608400,9916
新一代留学生看待祖国的态度是什么样的?,留学 留学生 海归,9857029,104623
最近有人开始囤粮食了，有必要吗？,生活 经济 中国经济,14175758,51356
乌军拿平民作人质、盾牌，那怎么之前乌军会放基辅市民外逃，以至于现在俄军走后每天有 5 万平民返回基辅？,俄罗斯 乌克兰 乌克兰局势,1746363,12695
作为上海疫情的亲历者，你感受过哪些来自陌生人的善意？有哪些经历想要分享？,上海 社会 疫情影响,759973,4933
如何评价刘畊宏？,明星 刘畊宏 刘畊宏女孩,4948531,8686
在岸、离岸人民币对美元即期汇率双双跌破 6.5，哪些原因造成人民币贬值？将会带来哪些影响？,投资 股票 人民币,7162865,18557
有哪些明星颜值被吹上天你却觉得丑？,娱乐 明星 娱乐圈,27550043,180765
英国不明原因幼儿肝炎升至 108 例，77% 检测呈腺病毒阳性，这意味什么？还有哪些信息值得关注？,英国 乙型肝炎 肝炎,6596104,25387
炫富真的很爽吗？,心理 炫富 有钱人,212418363,1272069
美国这次会不会崩溃？,美国 经济 经济学,34622618,353655
山东烟台病例基因分型为奥密克戎 BA.2.3 进化分支，目前国内尚未发现 ，防控有哪些事项需要注意？,基因 疫情影响 新冠疫情,725121,1888
有没有人装逼正好撞到你擅长的领域上的？,生活 社会心理 裝腔,460495001,4655733
最近好多关于上海疫情的负面消息，那么现在上海疫情真实情况什么呢？,上海 上海生活 瘟疫,14240789,99775
福建高校一女生连续 9 个月偷拍室友私密照发男友，学校给予记过处分，如何看待此事？从法律角度如何解读？,法律 隐私 高校,8087215,33711
4 月 24 日 16 时到 25 日 16 时，北京新增 29 例确诊病例，目前情况如何？,北京 北京生活 新型冠状病毒,702840,1367
